run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,150,1,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,150,2,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,150,3,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_4__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,150,4,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_1__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,30,1,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_2__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,30,2,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,30,3,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,30,4,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_1__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,60,1,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_2__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,60,2,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_3__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,60,3,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,historical,rule,classical,historical,fixed_rules,R0_flat,60,4,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.0,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,historical,feature,classical,historical,random_forest,R0_flat,150,1,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,1.7757083000033163,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,historical,feature,classical,historical,random_forest,R0_flat,150,2,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,1.365466799998103,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_3__seed_42,historical,feature,classical,historical,random_forest,R0_flat,150,3,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,1.7034227000003739,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_4__seed_42,historical,feature,classical,historical,random_forest,R0_flat,150,4,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,1.954322100002173,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_1__seed_42,historical,feature,classical,historical,random_forest,R0_flat,30,1,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.889426599998842,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,historical,feature,classical,historical,random_forest,R0_flat,30,2,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.7419021000023349,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,historical,feature,classical,historical,random_forest,R0_flat,30,3,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.861654099997395,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,historical,feature,classical,historical,random_forest,R0_flat,30,4,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.9750060999976995,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,historical,feature,classical,historical,random_forest,R0_flat,60,1,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,1.162704099999246,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,historical,feature,classical,historical,random_forest,R0_flat,60,2,42,none,historical_artifact,reused,historical,fase_2/outputs/metrics/G1/g1_execution_table.csv,0.9903904999991937,2026-09-10T19:45:21+00:00,historical result imported; do not retrain
