fold,subset,video_id,start_frame,end_frame
1,test,video_01,0,32012
1,train,video_02,0,22409
1,validation,video_02,22560,28199
1,train,video_03,0,24116
1,validation,video_03,24267,30333
1,train,video_04,0,25281
1,validation,video_04,25432,31789
2,test,video_02,0,28199
2,train,video_01,0,25459
2,validation,video_01,25610,32012
2,train,video_03,0,24116
2,validation,video_03,24267,30333
2,train,video_04,0,25281
2,validation,video_04,25432,31789
3,test,video_03,0,30333
3,train,video_01,0,25459
3,validation,video_01,25610,32012
3,train,video_02,0,22409
3,validation,video_02,22560,28199
3,train,video_04,0,25281
3,validation,video_04,25432,31789
4,test,video_04,0,31789
4,train,video_01,0,25459
4,validation,video_01,25610,32012
4,train,video_02,0,22409
4,validation,video_02,22560,28199
4,train,video_03,0,24116
4,validation,video_03,24267,30333
