fold,subset,video_id,window_size_frames,label,num_windows,total_window_frames,missing_frames,mean_missing_rate,fully_observed_windows,fully_missing_windows
1,test,dataset,30,alert,1088,32640,3277,0.1003982843137255,936,69
1,test,dataset,30,distraction,379,11370,8499,0.7474934036939314,59,216
1,test,dataset,30,fatigue,68,2040,1083,0.5308823529411765,19,24
1,test,dataset,30,mixed,598,17940,14679,0.8182274247491639,89,464
1,test,dataset,60,alert,1088,65280,6725,0.10301776960784313,905,58
1,test,dataset,60,distraction,379,22740,17000,0.7475813544415127,47,175
1,test,dataset,60,fatigue,67,4020,2104,0.5233830845771145,15,16
1,test,dataset,60,mixed,597,35820,29241,0.8163316582914573,77,446
1,test,dataset,150,alert,1090,163500,18084,0.11060550458715597,832,44
1,test,dataset,150,distraction,376,56400,42260,0.749290780141844,23,100
1,test,dataset,150,fatigue,62,9300,4984,0.5359139784946236,11,2
1,test,dataset,150,mixed,597,89550,72298,0.8073478503629258,46,414
1,test,video_01,30,alert,1088,32640,3277,0.1003982843137255,936,69
1,test,video_01,30,distraction,379,11370,8499,0.7474934036939314,59,216
1,test,video_01,30,fatigue,68,2040,1083,0.5308823529411765,19,24
1,test,video_01,30,mixed,598,17940,14679,0.8182274247491639,89,464
1,test,video_01,60,alert,1088,65280,6725,0.10301776960784313,905,58
1,test,video_01,60,distraction,379,22740,17000,0.7475813544415127,47,175
1,test,video_01,60,fatigue,67,4020,2104,0.5233830845771145,15,16
1,test,video_01,60,mixed,597,35820,29241,0.8163316582914573,77,446
1,test,video_01,150,alert,1090,163500,18084,0.11060550458715597,832,44
1,test,video_01,150,distraction,376,56400,42260,0.749290780141844,23,100
1,test,video_01,150,fatigue,62,9300,4984,0.5359139784946236,11,2
1,test,video_01,150,mixed,597,89550,72298,0.8073478503629258,46,414
1,train,dataset,30,alert,2929,87870,8088,0.09204506657562309,2552,188
1,train,dataset,30,distraction,334,10020,6226,0.6213572854291417,113,185
1,train,dataset,30,fatigue,4,120,0,0.0,4,0
